session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
1f325cca-b66b-4e56-8852-190eb529b549	2026-04-26T02:41:00.999Z	blog	glm-5.1	216	17	32807	6869	408640	0	main
f972fbea-b9e1-4e7d-8521-52076366b969	2026-04-26T03:43:54.963Z	blog	glm-5.1	30	14	28682	532	147456	0	main
20260426_114505_155836	2026-04-26T11:51:57+08:00	saveole.github.io	glm-5.1	408	26	51079	2023	215744	0	main
44204e67-cd7d-4f83-b306-f684c59f619f	2026-04-26T08:00:55.075Z	2026	glm-5.1	792	71	64560	12035	2181696	0	main
280e8d26-0f16-4ff5-9fc7-d4beedf0e716	2026-04-26T04:04:51.585Z	xueqiu-crawler	glm-5.1	157	29	55272	2256	492864	0	main
d806ffc1-a926-4480-a915-d9072e88da02	2026-04-26T17:11:34+08:00	-Users-saveole-projects-xueqiu-crawler	glm-5.1	242	4	16791	419	89152	0	main
125e1beb-0a2c-4888-b1a3-4fc809830c64	2026-04-26T23:07:35+08:00	-Users-saveole-projects-xueqiu-crawler	glm-5.1	5831	166	196678	65906	15354496	0	main
29f52fbd-817c-4fd5-a5de-3babcc61d4f4	2026-04-26T23:23:56+08:00	-Users-saveole-projects-xueqiu-crawler	glm-5.1	551	14	70955	8033	655168	0	main
52f5383c-c759-4a96-ad94-76ee809a0d59	2026-04-26T23:46:36+08:00	-Users-saveole-projects-xueqiu-crawler	glm-5.1	105	4	10481	2080	108096	0	main
4eee704c-8575-4977-9181-9ed53553b392	2026-04-26T15:34:33.850Z	xueqiu-crawler	glm-5.1	188	19	31308	3551	163968	0	main
8b7d39fc-3b27-4d2e-aa32-fad2b36f5260	2026-04-26T15:29:38.113Z	xueqiu-crawler	glm-5.1	230	21	17029	3345	222528	0	main
b43bdac6-22aa-4e4b-9de4-bf2a3554a7d2	2026-04-26T15:39:36.243Z	xueqiu-crawler	glm-5.1	281	20	20446	6026	227968	0	main
bf661a29-c1d7-4a71-985c-50aca5f8a272	2026-04-26T15:24:36.977Z	xueqiu-crawler	glm-5.1	205	15	28540	3156	132480	0	main
04504664-b0a3-4d6d-a589-74f20dce723c	2026-04-26T23:56:46+08:00	-Users-saveole-projects-xueqiu-crawler	glm-5.1	596	36	61248	12538	1793600	0	main
