session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
7715788f-57fe-487c-b2c9-8e14df35b677	2026-04-21T00:00:10+08:00	xz	glm-5.1	0	5	26765	1368	115968	0	main
636c42dd-3724-41d2-b625-e01836915612	2026-04-21T00:27:32+08:00	xz	glm-5.1	0	12	19831	6142	416768	0	main
77966385-3954-4f33-9034-82d9d2981904	2026-04-21T00:39:57+08:00	xz	glm-5.1	0	49	61337	13962	2383360	0	main
88be68ce-fdb4-4e94-8bd6-e5dffc38771e	2026-04-21T01:34:14+08:00	xz	glm-5.1	0	5	16230	6211	141440	0	main
57228511-9c13-4e57-b799-2f0abce221b8	2026-04-21T02:14:26+08:00	xz	glm-5.1	0	52	116885	23295	3461952	0	main
98842bf1-4853-4864-8c0a-2900c8c3b479	2026-04-21T02:17:53+08:00	xz	glm-5.1	0	8	44981	5865	233472	0	main
0959845c-780b-41bb-b984-2ce421831e35	2026-04-21T03:21:14+08:00	xz	glm-5.1	0	9	64861	7090	324352	0	main
d76d393c-d417-491f-8511-d833eac30e9a	2026-04-21T03:25:37+08:00	xz	glm-5.1	0	32	39930	5826	1603904	0	main
79fa4c8c-de66-4f15-b899-d334cb3a6a11	2026-04-21T06:48:28+08:00	scrm_wechat	glm-5.1	0	8	38780	8034	277760	0	master
cde1f84a-1f05-4cdb-a005-e9549c58dcb5	2026-04-21T06:52:16+08:00	scrm_wechat	glm-5.1	0	7	10371	1637	197760	0	master
eaf7ae5b-9c70-4766-b091-f969b78fc0fa	2026-04-21T06:58:44+08:00	scrm_wechat	glm-5.1	0	24	30192	10169	1097984	0	master
5e05ba57-8657-4ecb-b74a-8222c2e3af7c	2026-04-21T07:01:36+08:00	scrm_wechat	glm-5.1	0	14	20707	5902	519808	0	master
437ffbeb-bc2d-40bc-bb1b-f5c82b31ec06	2026-04-21T07:02:47+08:00	scrm_wechat	glm-5.1	0	9	18734	1520	297728	0	master
9d3c96ec-40a1-4fef-b4dd-e429f72bed61	2026-04-21T07:04:55+08:00	scrm_wechat	glm-5.1	0	6	10072	3217	182464	0	master
c013f36f-36e4-4118-b834-d4692fa3a0d5	2026-04-21T07:11:13+08:00	scrm_wechat	glm-5.1	0	29	40915	10030	1451584	0	master
1199296e-2128-48ab-8985-49f392dee783	2026-04-21T07:21:22+08:00	rick	glm-5.1	0	7	14259	1563	177664	0	main
af749f10-2a9c-40f9-a1ef-0af43a500432	2026-04-21T07:35:34+08:00	scrm_wechat	glm-5.1	0	9	40797	3522	298304	0	master
