session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
75b8ea6b-99da-4645-9337-5089f3fdca75	2026-08-13T08:03:14+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-b412a967-workdir	glm-5.2	168	6	59952	2457	223936	0	HEAD	0	claude
cbb48792-84c7-4dcc-a0b2-5db3d9b6b4ac	2026-08-13T08:31:00+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-ba7df7e4-workdir	glm-5.2	32	4	62635	893	112704	0	HEAD	0	claude
20260813_090903_460537	2026-08-13T09:20:17+08:00	Fixing Hermes ImportError Gateway Restart	glm-5.2	620	32	25008	4219	341824	0	master	2734	hermes
20260813_092704_dacc59	2026-08-13T09:35:14+08:00	Agent与OS使用占比布局调整	glm-5.2	436	40	18809	2421	522368	0	main	922	hermes
ses_0072fde57ffexbAE2mCoQXYgLa	2026-08-13T09:50:17+08:00	saveole.github.io	deepseek-v4-flash	644	76	77545	14428	4051968	0	main	12567	opencode
019ff8c2-739a-7140-a358-4754619061f2	2026-08-13T09:35:20+08:00	saveole.github.io	deepseek-v4-flash	1611	51	29797	38290	1792000	0	main	26147	pi
ses_007217fecffe8pXwTVY5cDGHmp	2026-08-13T10:05:59+08:00	inherit-mcp-server	deepseek-v4-flash	68	27	56114	3487	1130112	0	master	3085	opencode
ses_006ddaa6affevMUEKF63I7LxKE	2026-08-13T11:20:04+08:00	inherit-mcp-server	deepseek-v4-flash	751	81	62472	14796	5493120	0	master	28801	opencode
ses_0063aa7e1ffezuRDLL00ZUH1Ix	2026-08-13T14:18:07+08:00	saveole-code	deepseek-v4-flash	8847	372	1880237	89786	40802048	0	unknown	45169	opencode
019ffa02-8e0a-739e-acb2-fd3bf94925b9	2026-08-13T15:24:59+08:00	pi-rpc-test	deepseek-v4-flash	0	1	5913	2	0	0	main	0	pi
019ffa26-6f55-72c5-be12-535fafb1d9c0	2026-08-13T16:04:10+08:00	test-repo	deepseek-v4-flash	49	6	6539	5294	45440	0	feature/NFQX-10774	1986	pi
019ffa27-ba96-79c2-adb5-71c62d8b624e	2026-08-13T16:05:35+08:00	test-repo	deepseek-v4-flash	325	30	9697	44885	1270400	0	feature/NFQX-10774	22570	pi
019ffa30-477c-7ad1-aea8-2b54fcfc7a64	2026-08-13T16:14:55+08:00	test-repo	deepseek-v4-flash	70	9	15369	8669	111232	0	feature/NFQX-10799	2914	pi
019ffa32-4e73-7f0a-a594-6803ffb6c72a	2026-08-13T16:17:08+08:00	test-repo	deepseek-v4-flash	7	3	7534	1286	19840	0	main	802	pi
